Scenario,workerId,lhs_script,rhs_script,lhs_item,result,goldStandard,outlier/stable
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,79,3,3,4,
borrowing a book from the library.csv.xml,A3UV55HC87DO9C,6,79,3,5,4,
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,6,79,3,2,4,
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,79,4,5,,s
borrowing a book from the library.csv.xml,A3UV55HC87DO9C,6,79,4,6,,s
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,6,79,4,5,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,79,5,6,,s
borrowing a book from the library.csv.xml,A3UV55HC87DO9C,6,79,5,7,,s
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,6,79,5,6,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,79,6,7,,o
borrowing a book from the library.csv.xml,A3UV55HC87DO9C,6,79,6,between_8_9,,o
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,6,79,6,7,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,79,7,9,,s
borrowing a book from the library.csv.xml,A3UV55HC87DO9C,6,79,7,between_9_10,,s
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,6,79,7,9,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,89,1,between_1_2,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,6,89,1,1,,s
borrowing a book from the library.csv.xml,AVCXJ9M71WDCB,6,89,1,1,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,89,2,2,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,6,89,2,2,,o
borrowing a book from the library.csv.xml,AVCXJ9M71WDCB,6,89,2,2,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,89,3,5,3,
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,6,89,3,3,3,
borrowing a book from the library.csv.xml,AVCXJ9M71WDCB,6,89,3,3,3,
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,89,4,6,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,6,89,4,6,,s
borrowing a book from the library.csv.xml,AVCXJ9M71WDCB,6,89,4,6,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,89,5,7,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,6,89,5,10,,s
borrowing a book from the library.csv.xml,AVCXJ9M71WDCB,6,89,5,10,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,89,6,between_11_12,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,6,89,6,12,,o
borrowing a book from the library.csv.xml,AVCXJ9M71WDCB,6,89,6,5,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,6,89,7,13,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,6,89,7,13,,s
borrowing a book from the library.csv.xml,AVCXJ9M71WDCB,6,89,7,13,,s
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,1,before_1,,s
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,1,before_1,,s
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,1,before_1,,s
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,2,between_1_2,,s
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,2,1,,s
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,2,before_1,,s
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,3,between_2_3,2,
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,3,2,2,
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,3,2,2,
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,4,between_2_3,,o
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,4,between_7_8,,o
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,4,between_2_3,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,6,between_2_3,,o
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,6,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,6,between_2_3,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,7,between_9_10,,o
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,7,between_6_7,,o
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,7,between_2_3,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,8,between_9_10,,o
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,8,between_8_9,,o
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,8,between_2_3,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,9,between_9_10,,o
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,9,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,9,between_2_3,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,10,between_9_10,,s
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,10,between_8_9,,s
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,10,between_2_3,,s
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,11,between_6_7,,s
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,11,3,,s
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,11,between_2_3,,s
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,12,between_6_7,,o
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,12,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,12,between_6_7,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,13,between_7_8,,s
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,13,noLinkingPossible,,s
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,13,between_6_7,,s
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,15,between_10_11,,s
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,15,11,,s
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,15,between_7_8,,s
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,7,74,16,after_12,,s
borrowing a book from the library.csv.xml,A37S96RT1P1IT2,7,74,16,12,,s
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,7,74,16,12,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,1,1,,s
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,1,before_1,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,1,1,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,2,1,,s
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,2,1,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,2,1,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,3,1,,
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,3,between_1_2,,
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,3,1,,
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,4,1,,o
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,4,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,4,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,6,2,,o
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,6,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,6,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,7,5,,o
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,7,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,7,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,8,5,,o
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,8,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,8,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,9,5,,o
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,9,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,9,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,10,5,,s
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,10,noLinkingPossible,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,10,1,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,11,3,,s
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,11,3,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,11,3,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,12,10,,o
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,12,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,12,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,13,10,,s
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,13,noLinkingPossible,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,13,1,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,15,7,,s
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,15,7,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,15,7,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,79,16,9,,s
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,7,79,16,9,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,79,16,9,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,1,1,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,1,before_1,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,1,1,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,2,1,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,2,before_1,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,2,1,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,3,1,,
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,3,between_1_2,,
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,3,1,,
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,4,1,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,4,6,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,4,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,6,2,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,6,between_1_2,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,6,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,7,7,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,7,between_6_7,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,7,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,8,6,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,8,between_1_2,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,8,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,9,6,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,9,between_6_7,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,9,1,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,10,6,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,10,between_1_2,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,10,1,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,11,2,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,11,2,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,11,2,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,12,7,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,12,after_13,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,12,2,,o
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,13,4,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,13,after_13,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,13,4,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,15,6,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,15,between_11_12,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,15,5,,s
borrowing a book from the library.csv.xml,A1NM7ZPZ3NH412,7,89,16,13,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,7,89,16,after_13,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,7,89,16,13,,s
borrowing a book from the library.csv.xml,A2HHGI5CNSS5PD,8,74,2,noLinkingPossible,,s
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,2,3,,s
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,8,74,2,between_3_4,,s
borrowing a book from the library.csv.xml,A2HHGI5CNSS5PD,8,74,3,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,3,4,,o
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,3,6,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,8,74,3,between_6_7,,o
borrowing a book from the library.csv.xml,A2HHGI5CNSS5PD,8,74,4,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,4,6,,o
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,4,8,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,8,74,4,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A2HHGI5CNSS5PD,8,74,5,7,,s
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,5,10,,s
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,5,9,,s
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,5,8,,s
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,8,74,5,between_7_8,,s
borrowing a book from the library.csv.xml,A2HHGI5CNSS5PD,8,74,7,10,10,
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,7,11,10,
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,74,7,12,10,
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,8,74,7,between_9_10,10,
borrowing a book from the library.csv.xml,A2U9QFKBD9XHP7,8,79,2,3,,s
borrowing a book from the library.csv.xml,A2WF8JGMNB4UEN,8,79,2,3,,s
borrowing a book from the library.csv.xml,A3NMQ3019X6YE0,8,79,2,3,,s
borrowing a book from the library.csv.xml,A2U9QFKBD9XHP7,8,79,3,4,,o
borrowing a book from the library.csv.xml,A2WF8JGMNB4UEN,8,79,3,4,,o
borrowing a book from the library.csv.xml,A3NMQ3019X6YE0,8,79,3,4,,o
borrowing a book from the library.csv.xml,A2U9QFKBD9XHP7,8,79,4,between_4_5,,o
borrowing a book from the library.csv.xml,A2WF8JGMNB4UEN,8,79,4,between_4_5,,o
borrowing a book from the library.csv.xml,A3NMQ3019X6YE0,8,79,4,between_4_5,,o
borrowing a book from the library.csv.xml,A2U9QFKBD9XHP7,8,79,5,5,,s
borrowing a book from the library.csv.xml,A2WF8JGMNB4UEN,8,79,5,5,,s
borrowing a book from the library.csv.xml,A3NMQ3019X6YE0,8,79,5,5,,s
borrowing a book from the library.csv.xml,A2U9QFKBD9XHP7,8,79,7,7,7,
borrowing a book from the library.csv.xml,A2WF8JGMNB4UEN,8,79,7,7,7,
borrowing a book from the library.csv.xml,A3NMQ3019X6YE0,8,79,7,7,7,
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,89,2,2,,s
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,8,89,2,2,,s
borrowing a book from the library.csv.xml,AON62GZEVQMWP,8,89,2,between_2_3,,s
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,89,3,13,,o
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,8,89,3,between_2_3,,o
borrowing a book from the library.csv.xml,AON62GZEVQMWP,8,89,3,between_3_4,,o
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,89,4,2,,o
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,8,89,4,between_2_3,,o
borrowing a book from the library.csv.xml,AON62GZEVQMWP,8,89,4,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,89,5,6,,s
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,8,89,5,6,,s
borrowing a book from the library.csv.xml,AON62GZEVQMWP,8,89,5,between_6_7,,s
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,8,89,7,3,,
borrowing a book from the library.csv.xml,A3MJ47AD05HGC,8,89,7,between_6_7,,
borrowing a book from the library.csv.xml,AON62GZEVQMWP,8,89,7,between_8_9,,
borrowing a book from the library.csv.xml,A1A3TGZ7DKJWRW,9,74,1,between_2_3,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,74,1,between_2_3,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,9,74,1,1,,o
borrowing a book from the library.csv.xml,A1A3TGZ7DKJWRW,9,74,2,3,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,74,2,3,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,9,74,2,3,,o
borrowing a book from the library.csv.xml,A1A3TGZ7DKJWRW,9,74,4,7,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,74,4,7,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,9,74,4,7,,o
borrowing a book from the library.csv.xml,A1A3TGZ7DKJWRW,9,74,5,11,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,74,5,11,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,9,74,5,11,,s
borrowing a book from the library.csv.xml,A1A3TGZ7DKJWRW,9,74,6,between_11_12,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,74,6,between_11_12,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,9,74,6,11,,o
borrowing a book from the library.csv.xml,A002160837SWJFPIAI7L7,9,79,1,between_1_2,,o
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,9,79,1,1,,o
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,9,79,1,between_1_2,,o
borrowing a book from the library.csv.xml,A002160837SWJFPIAI7L7,9,79,2,2,,o
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,9,79,2,2,,o
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,9,79,2,2,,o
borrowing a book from the library.csv.xml,A002160837SWJFPIAI7L7,9,79,4,between_5_6,,o
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,9,79,4,5,,o
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,9,79,4,between_1_2,,o
borrowing a book from the library.csv.xml,A002160837SWJFPIAI7L7,9,79,5,8,,s
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,9,79,5,8,,s
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,9,79,5,8,,s
borrowing a book from the library.csv.xml,A002160837SWJFPIAI7L7,9,79,6,between_8_9,,o
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,9,79,6,9,,o
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,9,79,6,between_8_9,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,9,89,1,between_6_7,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,9,89,1,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,89,1,between_1_2,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,9,89,2,between_2_3,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,9,89,2,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,89,2,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,9,89,4,between_7_8,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,9,89,4,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,89,4,6,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,9,89,5,between_9_10,,s
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,9,89,5,after_13,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,89,5,between_12_13,,s
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,9,89,6,between_12_13,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,9,89,6,noLinkingPossible,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,9,89,6,between_12_13,,o
borrowing a book from the library.csv.xml,A12R2U6TBB3OOG,10,74,1,1,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,10,74,1,before_1,,o
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,10,74,1,1,,o
borrowing a book from the library.csv.xml,A12R2U6TBB3OOG,10,74,3,6,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,10,74,3,between_6_7,,o
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,10,74,3,3,,o
borrowing a book from the library.csv.xml,A12R2U6TBB3OOG,10,74,4,9,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,10,74,4,between_9_10,,o
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,10,74,4,9,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,10,79,1,between_1_2,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,10,79,1,1,,o
borrowing a book from the library.csv.xml,AON62GZEVQMWP,10,79,1,between_1_2,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,10,79,3,between_3_4,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,10,79,3,2,,o
borrowing a book from the library.csv.xml,AON62GZEVQMWP,10,79,3,between_4_5,,o
borrowing a book from the library.csv.xml,A2KR0MD4Z3M6LL,10,79,4,between_6_7,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,10,79,4,6,,o
borrowing a book from the library.csv.xml,AON62GZEVQMWP,10,79,4,between_6_7,,o
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,10,89,1,1,,o
borrowing a book from the library.csv.xml,A2XOKJX2IPLOA8,10,89,1,1,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,10,89,1,1,,o
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,10,89,3,5,,o
borrowing a book from the library.csv.xml,A2XOKJX2IPLOA8,10,89,3,between_2_3,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,10,89,3,3,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,10,89,3,2,,o
borrowing a book from the library.csv.xml,A2VN3OJKI3R6HE,10,89,4,10,,o
borrowing a book from the library.csv.xml,A2XOKJX2IPLOA8,10,89,4,10,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,10,89,4,7,,o
borrowing a book from the library.csv.xml,A17KIXJGFCB7ZQ,11,74,1,between_6_7,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,11,74,1,3,,o
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,11,74,1,6,,o
borrowing a book from the library.csv.xml,A17KIXJGFCB7ZQ,11,74,2,between_7_8,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,11,74,2,7,,s
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,11,74,2,7,,s
borrowing a book from the library.csv.xml,A17KIXJGFCB7ZQ,11,74,3,between_9_10,,s
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,11,74,3,9,,s
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,11,74,3,9,,s
borrowing a book from the library.csv.xml,A17KIXJGFCB7ZQ,11,74,4,between_10_11,,o
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,11,74,4,10,,o
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,11,74,4,between_10_11,,o
borrowing a book from the library.csv.xml,A17KIXJGFCB7ZQ,11,74,5,after_12,12,
borrowing a book from the library.csv.xml,A3F6SDO4GYBE4Y,11,74,5,12,12,
borrowing a book from the library.csv.xml,ALEJV7D94ZLHF,11,74,5,after_12,12,
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,11,79,1,7,,o
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,11,79,1,4,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,11,79,1,3,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,11,79,1,3,,o
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,11,79,2,5,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,11,79,2,5,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,11,79,2,5,,s
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,11,79,3,8,,s
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,11,79,3,6,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,11,79,3,6,,s
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,11,79,4,8,,o
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,11,79,4,7,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,11,79,4,between_8_9,,o
borrowing a book from the library.csv.xml,A2P065E9CYMYJL,11,79,5,11,9,
borrowing a book from the library.csv.xml,A2TYLR23CHRULH,11,79,5,between_9_10,9,
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,11,79,5,between_9_10,9,
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,11,89,1,between_2_3,,o
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,11,89,1,2,,o
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,11,89,1,between_2_3,,o
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,11,89,2,between_7_8,,s
borrowing a book from the library.csv.xml,A2SSC9PR4KPNPQ,11,89,2,3,,s
borrowing a book from the library.csv.xml,A2XFO0X6RCS98M,11,89,2,6,,s
borrowing a book from the library.csv.xml,A2QD7QFGCUNF5N,11,89,3,between_10_11,,s
